ORIGIN,DEST,TOTAL_DB1B_PASSENGERS,TOTAL_FARE_WEIGHT,DB1B_RECORDS,AVG_FARE
ABI,RDM,1.0,414.0,1,414.0
ABI,RDU,5.0,1722.5,4,344.5
ABI,RIC,3.0,1876.6399999999999,2,625.5466666666666
ABI,RNO,8.0,3124.65,7,390.58125
ABI,ROA,2.0,1120.5,2,560.25
ABI,RSW,8.0,2470.5,8,308.8125
ABI,SAF,1.0,242.0,1,242.0
ABI,SAN,11.0,4428.0,11,402.54545454545456
ABI,SAT,8.0,2065.5,8,258.1875
ABI,SAV,1.0,5.5,1,5.5
ABI,SBN,3.0,1030.0,3,343.3333333333333
ABI,SBP,1.0,269.0,1,269.0
ABI,SDF,5.0,1221.5,5,244.3
ABI,SEA,14.0,4375.5,13,312.5357142857143
ABI,SFO,9.0,3523.0,7,391.44444444444446
ABI,SGF,1.0,204.0,1,204.0
ABI,SHV,3.0,977.0,3,325.6666666666667
ABI,SJC,5.0,1838.0,5,367.6
ABI,SJU,5.0,1476.5,5,295.3
ABI,SLC,15.0,4887.0,12,325.8
ABI,SMF,8.0,2644.2799999999997,8,330.53499999999997
ABI,SNA,14.0,4316.5,14,308.32142857142856
ABI,SRQ,1.0,559.0,1,559.0
ABI,STL,13.0,5162.0,9,397.0769230769231
ABI,STT,2.0,1211.24,1,605.62
ABI,SYR,2.0,833.0699999999999,2,416.53499999999997
ABI,TLH,1.0,431.0,1,431.0
ABI,TPA,15.0,5027.0,13,335.1333333333333
ABI,TUL,1.0,314.24,1,314.24
ABI,TUS,1.0,292.0,1,292.0
ABI,TYR,1.0,321.0,1,321.0
ABI,TYS,3.0,1133.5,3,377.8333333333333
ABI,VPS,15.0,4870.66,15,324.71066666666667
ABI,XNA,1.0,283.5,1,283.5
ABI,YUM,1.0,412.0,1,412.0
ABQ,ABI,4.0,962.5,4,240.625
ABQ,AGS,3.0,648.53,3,216.17666666666665
ABQ,AUS,307.0,66499.34,191,216.6102280130293
ABQ,AVL,8.0,2807.96,8,350.995
ABQ,AZO,1.0,213.0,1,213.0
ABQ,BDL,1.0,452.02,1,452.02
ABQ,BFL,6.0,1352.19,4,225.365
ABQ,BHM,1.0,217.0,1,217.0
ABQ,BMI,1.0,206.9,1,206.9
ABQ,BNA,9.0,2066.79,9,229.64333333333332
ABQ,BOS,2.0,433.0,2,216.5
ABQ,BRO,2.0,220.0,2,110.0
ABQ,BTR,9.0,2248.0,8,249.77777777777777
ABQ,BUF,2.0,297.8,2,148.9
ABQ,BWI,1.0,5.5,1,5.5
ABQ,CHA,9.0,1912.0,8,212.44444444444446
ABQ,CID,3.0,885.33,3,295.11
ABQ,CLT,1.0,361.0,1,361.0
ABQ,CMH,6.0,1531.99,6,255.33166666666668
ABQ,CMI,8.0,2948.5,8,368.5625
ABQ,COU,5.0,1188.94,5,237.788
ABQ,CVG,2.0,402.36,2,201.18
ABQ,CWA,2.0,517.0,2,258.5
ABQ,DAY,5.0,1350.64,5,270.12800000000004
ABQ,DFW,3.0,1009.86,3,336.62
ABQ,DTW,4.0,1020.8100000000001,4,255.20250000000001
ABQ,EVV,3.0,942.0,3,314.0
ABQ,EYW,1.0,5.42,1,5.42
ABQ,FAR,3.0,934.78,3,311.5933333333333
ABQ,FAT,1.0,232.5,1,232.5
ABQ,FAY,1.0,226.5,1,226.5
ABQ,FLL,1.0,256.05,1,256.05
ABQ,FNT,1.0,375.5,1,375.5
ABQ,FSM,2.0,868.72,2,434.36
ABQ,GNV,2.0,563.5,2,281.75
ABQ,GPT,2.0,551.0,2,275.5
ABQ,GRK,3.0,894.5,3,298.1666666666667
ABQ,GRR,3.0,703.61,3,234.53666666666666
ABQ,GSO,2.0,483.56,1,241.78
ABQ,HOU,3.0,759.1,2,253.03333333333333
ABQ,HRL,1.0,194.0,1,194.0
ABQ,HSV,8.0,3458.5,8,432.3125
ABQ,IND,3.0,745.43,3,248.47666666666666
ABQ,JAN,5.0,850.5,5,170.1
ABQ,JAX,8.0,1336.23,7,167.02875
ABQ,JFK,2.0,827.89,2,413.945
ABQ,LAN,6.0,1450.5,6,241.75
ABQ,LCH,3.0,1111.5,3,370.5
ABQ,LEX,7.0,2626.5099999999998,5,375.2157142857142
ABQ,LFT,2.0,586.5,2,293.25
ABQ,LIT,2.0,596.5899999999999,2,298.29499999999996
ABQ,LSE,1.0,234.27,1,234.27
ABQ,MAF,2.0,439.0,2,219.5
ABQ,MCO,36.0,9324.23,33,259.00638888888886
ABQ,MEM,7.0,2378.45,7,339.7785714285714
ABQ,MGM,1.0,411.0,1,411.0
ABQ,MHK,4.0,1036.42,4,259.105
ABQ,MIA,3.0,951.45,3,317.15000000000003
ABQ,MLI,1.0,253.66,1,253.66
ABQ,MOB,7.0,1646.0,7,235.14285714285714
ABQ,MQT,1.0,576.5,1,576.5
ABQ,MRY,2.0,496.0,2,248.0
ABQ,MSN,2.0,1088.5,2,544.25
