MARKET_COUPONS,YEAR,QUARTER,ORIGIN,DEST,REPORTING_CARRIER,TICKET_CARRIER,OPERATING_CARRIER,PASSENGERS,MARKET_FARE,MARKET_DISTANCE,NONSTOP_MILES
2,2023,1,ORF,XNA,MQ,AA,99,1.0,417.01,1105.0,1006.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,5.0,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,387.0,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,607.0,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,5.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,1.0,5.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,5.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,1.0,5.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,206.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,AA,1.0,206.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,217.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,1.0,217.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,236.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,AA,1.0,236.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,242.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,AA,1.0,242.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,2.0,277.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,2.0,277.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,292.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,1.0,292.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,316.0,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,1.0,316.0,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,335.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,1.0,335.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,681.5,1344.0,1066.0
2,2023,1,PBI,XNA,MQ,AA,99,1.0,681.5,1344.0,1066.0
2,2023,1,XNA,PBI,MQ,AA,99,1.0,204.11,1344.0,1066.0
