ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE,SPILLED_PAX_ERJ145,SPILLED_PAX_ERJ170,SPILLED_PAX_ERJ175,SPILL_COST_ERJ145,SPILL_COST_ERJ170,SPILL_COST_ERJ175
DAB,DFW,9.0,487.0,54.11111111111112,272.4835251798561,4.111111111111121,0.0,0.0,1120.2100479616333,0.0,0.0
DAY,CLT,7.0,120.0,17.142857142857142,98.39,0.0,0.0,0.0,0.0,0.0,0.0
DAY,DFW,48.0,2624.0,54.66666666666666,301.38403846153847,4.666666666666657,0.0,0.0,1406.4588461538433,0.0,0.0
DAY,ORD,65.0,2623.0,40.35384615384616,183.58612903225807,0.0,0.0,0.0,0.0,0.0,0.0
DCA,ATL,50.0,1963.0,39.26,193.2810897435897,0.0,0.0,0.0,0.0,0.0,0.0
DCA,BDL,15.0,786.0,52.4,220.28142857142856,2.3999999999999986,0.0,0.0,528.6754285714283,0.0,0.0
DCA,BGR,1.0,50.0,50.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0
DCA,BHM,19.0,869.0,45.73684210526316,253.259649122807,0.0,0.0,0.0,0.0,0.0,0.0
DCA,BNA,41.0,1570.0,38.29268292682927,165.75523121387283,0.0,0.0,0.0,0.0,0.0,0.0
DCA,CAE,1.0,58.0,58.0,192.5,8.0,0.0,0.0,1540.0,0.0,0.0
DCA,CHS,15.0,639.0,42.6,217.2427232142857,0.0,0.0,0.0,0.0,0.0,0.0
DCA,CMH,31.0,1166.0,37.61290322580645,187.93042296072508,0.0,0.0,0.0,0.0,0.0,0.0
DCA,CVG,15.0,757.0,50.46666666666667,173.28241610738257,0.46666666666666856,0.0,0.0,80.86512751677887,0.0,0.0
DCA,DSM,75.0,3383.0,45.10666666666667,246.8586713286713,0.0,0.0,0.0,0.0,0.0,0.0
DCA,GRR,8.0,445.0,55.625,257.5145,5.625,0.0,0.0,1448.5190625,0.0,0.0
DCA,GSO,18.0,913.0,50.72222222222222,202.1515151515152,0.7222222222222214,0.0,0.0,145.99831649831637,0.0,0.0
DCA,GSP,6.0,357.0,59.5,189.03666666666663,9.5,0.0,0.0,1795.848333333333,0.0,0.0
DCA,HSV,9.0,315.0,35.0,299.22554455445544,0.0,0.0,0.0,0.0,0.0,0.0
DCA,LIT,30.0,1428.0,47.6,277.3811400651465,0.0,0.0,0.0,0.0,0.0,0.0
DCA,MSP,1.0,34.0,34.0,,0.0,0.0,0.0,,,
DCA,SDF,6.0,351.0,58.5,232.0354545454545,8.5,0.0,0.0,1972.3013636363635,0.0,0.0
DCA,SYR,21.0,942.0,44.85714285714285,183.45677966101687,0.0,0.0,0.0,0.0,0.0,0.0
DCA,TLH,22.0,682.0,31.0,268.73551020408166,0.0,0.0,0.0,0.0,0.0,0.0
DCA,VPS,8.0,305.0,38.125,192.40263157894736,0.0,0.0,0.0,0.0,0.0,0.0
DCA,XNA,29.0,1120.0,38.62068965517241,280.1218260869565,0.0,0.0,0.0,0.0,0.0,0.0
DFW,ABI,105.0,4768.0,45.40952380952381,212.22758620689652,0.0,0.0,0.0,0.0,0.0,0.0
DFW,AGS,30.0,1747.0,58.23333333333333,288.8588028169014,8.233333333333327,0.0,0.0,2378.270809859153,0.0,0.0
DFW,AUS,38.0,1995.0,52.5,207.6916326530612,2.5,0.0,0.0,519.229081632653,0.0,0.0
DFW,AVL,30.0,1921.0,64.03333333333333,321.7571555555556,14.033333333333331,0.0,0.0,4515.325416296296,0.0,0.0
DFW,BHM,20.0,1010.0,50.5,256.465421686747,0.5,0.0,0.0,128.2327108433735,0.0,0.0
DFW,BIL,21.0,1263.0,60.142857142857146,331.21414285714286,10.142857142857146,0.0,0.0,3359.4577346938786,0.0,0.0
DFW,BIS,33.0,1951.0,59.121212121212125,397.49304347826086,9.121212121212125,0.0,0.0,3625.618366271411,0.0,0.0
DFW,BOI,1.0,64.0,64.0,369.1675,14.0,0.0,0.0,5168.345,0.0,0.0
DFW,BRO,40.0,1743.0,43.575,263.5622695035461,0.0,0.0,0.0,0.0,0.0,0.0
DFW,BTR,77.0,4702.0,61.06493506493506,288.2474086378738,11.064935064935057,0.0,0.0,3189.4388592138735,0.0,0.0
DFW,CHA,75.0,4541.0,60.54666666666667,308.3154907161804,10.546666666666667,0.0,0.0,3251.700708753316,0.0,0.0
DFW,CID,8.0,446.0,55.75,315.0579194630872,5.75,0.0,0.0,1811.5830369127516,0.0,0.0
DFW,CMI,56.0,2873.0,51.30357142857143,305.5677551020408,1.3035714285714306,0.0,0.0,398.32939504373235,0.0,0.0
DFW,COS,15.0,1012.0,67.46666666666667,234.43893333333327,17.46666666666667,2.4666666666666686,0.0,4094.8667022222216,578.2827022222225,0.0
DFW,COU,65.0,4200.0,64.61538461538461,222.04942446043165,14.615384615384613,0.0,0.0,3245.337742114001,0.0,0.0
DFW,CRP,69.0,3945.0,57.17391304347826,269.1804411764706,7.173913043478258,0.0,0.0,1931.0770780051143,0.0,0.0
DFW,DAB,9.0,472.0,52.44444444444444,290.0673643410853,2.444444444444443,0.0,0.0,709.053557278208,0.0,0.0
DFW,DAY,47.0,3007.0,63.97872340425532,306.7329192546584,13.97872340425532,0.0,0.0,4287.73463724065,0.0,0.0
DFW,DRO,53.0,2659.0,50.16981132075472,298.22542372881355,0.16981132075471805,0.0,0.0,50.642053086025264,0.0,0.0
DFW,DSM,1.0,44.0,44.0,166.3538095238095,0.0,0.0,0.0,0.0,0.0,0.0
DFW,ECP,37.0,2307.0,62.35135135135136,233.50505494505487,12.351351351351362,0.0,0.0,2884.1029759429775,0.0,0.0
DFW,ELP,15.0,938.0,62.53333333333333,220.2538,12.533333333333331,0.0,0.0,2760.514293333333,0.0,0.0
DFW,EVV,38.0,1622.0,42.68421052631579,341.97006993006994,0.0,0.0,0.0,0.0,0.0,0.0
DFW,FAR,42.0,2668.0,63.523809523809526,330.0138235294118,13.523809523809526,0.0,0.0,4463.044089635856,0.0,0.0
DFW,FAT,1.0,55.0,55.0,270.55,5.0,0.0,0.0,1352.75,0.0,0.0
DFW,FAY,30.0,1881.0,62.7,273.53801587301587,12.700000000000003,0.0,0.0,3473.9328015873025,0.0,0.0
DFW,FSD,44.0,2790.0,63.40909090909091,293.20464646464643,13.409090909090907,0.0,0.0,3931.6077594123035,0.0,0.0
DFW,FSM,39.0,2327.0,59.66666666666666,235.1065573770492,9.666666666666657,0.0,0.0,2272.6967213114735,0.0,0.0
DFW,GJT,69.0,3292.0,47.71014492753624,291.60124223602486,0.0,0.0,0.0,0.0,0.0,0.0
DFW,GNV,29.0,1741.0,60.03448275862069,355.2441666666667,10.03448275862069,0.0,0.0,3564.691465517242,0.0,0.0
DFW,GPT,40.0,2305.0,57.625,260.635756097561,7.625,0.0,0.0,1987.3476402439026,0.0,0.0
DFW,GRK,41.0,1213.0,29.585365853658537,158.10875,0.0,0.0,0.0,0.0,0.0,0.0
DFW,GRR,28.0,1730.0,61.785714285714285,321.47535714285715,11.785714285714285,0.0,0.0,3788.816709183673,0.0,0.0
DFW,HOU,28.0,1655.0,59.10714285714285,173.06377245508983,9.107142857142847,0.0,0.0,1576.1164991445664,0.0,0.0
DFW,HRL,75.0,3668.0,48.906666666666666,203.0167018469657,0.0,0.0,0.0,0.0,0.0,0.0
DFW,HSV,43.0,1972.0,45.86046511627907,353.3565454545455,0.0,0.0,0.0,0.0,0.0,0.0
DFW,ICT,40.0,2344.0,58.6,288.1687671232877,8.600000000000001,0.0,0.0,2478.2513972602746,0.0,0.0
DFW,IND,6.0,332.0,55.333333333333336,283.59593406593405,5.333333333333336,0.0,0.0,1512.511648351649,0.0,0.0
DFW,JAN,69.0,4215.0,61.08695652173913,273.17483870967743,11.086956521739133,0.0,0.0,3028.677559607294,0.0,0.0
DFW,LBB,65.0,4134.0,63.6,214.1844378698225,13.600000000000001,0.0,0.0,2912.9083550295863,0.0,0.0
DFW,LCH,9.0,221.0,24.55555555555556,183.7055056179776,0.0,0.0,0.0,0.0,0.0,0.0
DFW,LEX,76.0,4129.0,54.328947368421055,347.0165171503958,4.328947368421055,0.0,0.0,1502.216238716846,0.0,0.0
DFW,LFT,85.0,3617.0,42.55294117647059,246.01916666666668,0.0,0.0,0.0,0.0,0.0,0.0
DFW,LIT,103.0,6935.0,67.33009708737865,236.80394265232977,17.330097087378647,2.330097087378647,0.0,4103.83531683892,551.7761770539737,0.0
DFW,LRD,1.0,76.0,76.0,254.14,26.0,11.0,0.0,6607.639999999999,2795.54,0.0
DFW,MAF,89.0,5003.0,56.21348314606742,245.5094350282486,6.213483146067418,0.0,0.0,1525.4687367485562,0.0,0.0
DFW,MGM,58.0,3421.0,58.98275862068966,298.1860550458716,8.982758620689658,0.0,0.0,2678.533356532744,0.0,0.0
DFW,MHK,63.0,3726.0,59.142857142857146,249.52838095238096,9.142857142857146,0.0,0.0,2281.402340136055,0.0,0.0
DFW,MLI,18.0,1035.0,57.5,285.11311557788946,7.5,0.0,0.0,2138.348366834171,0.0,0.0
DFW,MOB,58.0,3268.0,56.3448275862069,243.08149758454107,6.344827586206897,0.0,0.0,1542.3101915708812,0.0,0.0
DFW,MRY,59.0,3132.0,53.08474576271186,325.2867777777778,3.0847457627118615,0.0,0.0,1003.4270094161949,0.0,0.0
DFW,MSN,8.0,434.0,54.25,325.2090666666667,4.25,0.0,0.0,1382.1385333333333,0.0,0.0
DFW,MSO,21.0,1084.0,51.61904761904762,300.61325301204823,1.6190476190476204,0.0,0.0,486.7071715433166,0.0,0.0
DFW,MYR,2.0,127.0,63.5,328.04016949152543,13.5,0.0,0.0,4428.5422881355935,0.0,0.0
DFW,OKC,13.0,935.0,71.92307692307692,264.75,21.92307692307692,6.92307692307692,0.0,5804.134615384614,1832.8846153846146,0.0
DFW,OMA,1.0,61.0,61.0,208.538125,11.0,0.0,0.0,2293.919375,0.0,0.0
DFW,ORD,1.0,57.0,57.0,242.4849504950495,7.0,0.0,0.0,1697.3946534653464,0.0,0.0
DFW,PIA,22.0,1246.0,56.63636363636363,269.273984962406,6.636363636363633,0.0,0.0,1787.000082023239,0.0,0.0
DFW,PNS,20.0,1452.0,72.6,262.70907407407407,22.599999999999994,7.599999999999994,0.0,5937.225074074073,1996.5889629629614,0.0
DFW,RAP,61.0,3669.0,60.14754098360656,307.764824120603,10.14754098360656,0.0,0.0,3123.056166076284,0.0,0.0
DFW,SDF,33.0,2080.0,63.03030303030303,241.9228421052632,13.030303030303031,0.0,0.0,3152.3279425837327,0.0,0.0
DFW,SGF,184.0,10154.0,55.18478260869565,292.9804696132597,5.184782608695649,0.0,0.0,1519.0400435383128,0.0,0.0
DFW,SHV,61.0,3163.0,51.85245901639344,246.34642857142856,1.8524590163934391,0.0,0.0,456.3466627634652,0.0,0.0
DFW,SJT,36.0,1799.0,49.97222222222222,248.19323076923075,0.0,0.0,0.0,0.0,0.0,0.0
DFW,STL,8.0,503.0,62.875,243.343137254902,12.875,0.0,0.0,3133.042892156863,0.0,0.0
DFW,STS,9.0,475.0,52.77777777777778,317.8760839160839,2.7777777777777786,0.0,0.0,882.9891219891223,0.0,0.0
DFW,TLH,52.0,3204.0,61.61538461538461,312.2073953488372,11.615384615384613,0.0,0.0,3626.4089767441856,0.0,0.0
DFW,TRI,11.0,603.0,54.81818181818182,270.2738888888889,4.81818181818182,0.0,0.0,1302.2287373737379,0.0,0.0
DFW,TUL,4.0,281.0,70.25,201.8156338028169,20.25,5.25,0.0,4086.7665845070424,1059.5320774647887,0.0
DFW,VPS,5.0,297.0,59.4,257.98774336283185,9.399999999999999,0.0,0.0,2425.084787610619,0.0,0.0
DFW,XNA,132.0,8379.0,63.47727272727273,267.96504405286345,13.477272727272727,0.0,0.0,3611.437980076091,0.0,0.0
DRO,DFW,52.0,2609.0,50.17307692307692,305.2980844155844,0.1730769230769198,0.0,0.0,52.84005307192707,0.0,0.0
DSM,CID,1.0,50.0,50.0,,0.0,0.0,0.0,,,
DSM,DCA,75.0,3209.0,42.78666666666667,266.04299270072994,0.0,0.0,0.0,0.0,0.0,0.0
DSM,MHK,1.0,44.0,44.0,,0.0,0.0,0.0,,,
DSM,MIA,4.0,285.0,71.25,279.3323404255319,21.25,6.25,0.0,5935.812234042553,1745.8271276595744,0.0
DSM,ORD,54.0,2908.0,53.851851851851855,228.1251111111111,3.8518518518518547,0.0,0.0,878.7041316872434,0.0,0.0
DTW,AZO,1.0,41.0,41.0,,0.0,0.0,0.0,,,
DTW,ORD,47.0,1817.0,38.659574468085104,189.15752475247524,0.0,0.0,0.0,0.0,0.0,0.0
ECP,DFW,38.0,2344.0,61.68421052631579,228.7478350515464,11.684210526315788,0.0,0.0,2672.737862181226,0.0,0.0
ELP,AUS,78.0,3511.0,45.01282051282051,165.83599264705882,0.0,0.0,0.0,0.0,0.0,0.0
ELP,DFW,15.0,1064.0,70.93333333333334,248.53727272727272,20.933333333333337,5.933333333333337,0.0,5202.713575757577,1474.6544848484857,0.0
EVV,DFW,39.0,1432.0,36.71794871794872,313.5485185185185,0.0,0.0,0.0,0.0,0.0,0.0
EWR,ORD,9.0,639.0,71.0,174.0311111111111,21.0,6.0,0.0,3654.653333333333,1044.1866666666665,0.0
EYW,CLT,2.0,115.0,57.5,296.326,7.5,0.0,0.0,2222.445,0.0,0.0
EYW,DCA,1.0,56.0,56.0,357.9945341614907,6.0,0.0,0.0,2147.9672049689443,0.0,0.0
EYW,MIA,97.0,5704.0,58.8041237113402,259.918,8.804123711340203,0.0,0.0,2288.350226804123,0.0,0.0
EYW,ORD,9.0,558.0,62.0,327.05573584905665,12.0,0.0,0.0,3924.6688301886797,0.0,0.0
