ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE
MIA,TLH,91.0,4732.0,52.0,317.94453855878635
MIA,TPA,22.0,1365.0,62.04545454545455,232.5214110429448
MIA,TYS,31.0,1969.0,63.516129032258064,268.57094594594594
MIA,XNA,29.0,1527.0,52.6551724137931,331.2354954954955
MKE,ORD,36.0,1752.0,48.66666666666666,249.66666666666663
MLI,AZO,1.0,37.0,37.0,
MLI,DFW,19.0,1141.0,60.05263157894737,275.22740566037737
MLI,ORD,49.0,1887.0,38.51020408163265,172.64705882352942
MOB,DFW,58.0,2959.0,51.01724137931034,241.8051904761905
MQT,ORD,35.0,1462.0,41.77142857142857,196.4307894736842
MRY,DFW,60.0,3216.0,53.6,333.9289247311828
MRY,PHX,50.0,2946.0,58.92,311.24048192771085
MSN,CLT,6.0,155.0,25.83333333333333,304.48592592592587
MSN,DFW,8.0,503.0,62.875,312.27542857142856
MSN,MIA,4.0,293.0,73.25,289.41316666666665
MSN,ORD,85.0,4573.0,53.8,145.58285714285714
MSN,PHX,1.0,52.0,52.0,330.09476190476187
MSO,DFW,22.0,1360.0,61.81818181818182,282.8014457831325
MSP,DCA,1.0,69.0,69.0,141.22
MSP,ORD,53.0,2623.0,49.490566037735846,196.83037735849055
MSY,AUS,82.0,3731.0,45.5,179.49836787564766
MSY,MIA,25.0,1778.0,71.12,323.6590020790021
MSY,ORD,19.0,1051.0,55.31578947368421,226.189552238806
MYR,DFW,2.0,134.0,67.0,306.7924242424242
OKC,AUS,37.0,932.0,25.18918918918919,166.46745098039216
OKC,DFW,13.0,527.0,40.53846153846154,219.98375
OKC,ORD,64.0,2738.0,42.78125,213.3661870503597
OKC,SPI,1.0,38.0,38.0,
OMA,FSD,1.0,61.0,61.0,
OMA,ORD,36.0,1961.0,54.47222222222222,192.5893023255814
ORD,ABE,9.0,286.0,31.77777777777778,190.9290243902439
ORD,ALB,18.0,932.0,51.77777777777778,202.77
ORD,ALO,37.0,500.0,13.513513513513514,185.4008333333333
ORD,ATL,37.0,2227.0,60.18918918918919,172.68897091722596
ORD,ATW,49.0,2277.0,46.46938775510204,202.8095238095238
ORD,AUS,57.0,3067.0,53.80701754385965,261.15303074670567
ORD,AVP,9.0,365.0,40.55555555555556,223.37859649122808
ORD,AZO,48.0,2064.0,43.0,190.94444444444449
ORD,BDL,28.0,1657.0,59.17857142857143,271.49630136986303
ORD,BHM,30.0,1018.0,33.93333333333333,198.26399103139013
ORD,BMI,47.0,1452.0,30.8936170212766,247.66666666666663
ORD,BNA,57.0,3201.0,56.1578947368421,198.88169254658385
ORD,BOS,39.0,2289.0,58.69230769230769,174.32633440514468
ORD,BUF,26.0,1185.0,45.57692307692308,203.67311827956988
ORD,BWI,51.0,2470.0,48.431372549019606,200.89727642276424
ORD,BZN,22.0,1174.0,53.36363636363637,276.4031847133758
ORD,CID,76.0,3277.0,43.11842105263158,233.1577551020408
ORD,CLE,69.0,2277.0,33.0,197.93327067669173
ORD,CLT,1.0,46.0,46.0,256.1324
ORD,CMH,128.0,6091.0,47.5859375,209.0961820851689
ORD,CMI,55.0,2190.0,39.81818181818182,253.0928
ORD,COU,18.0,659.0,36.61111111111112,209.4821142857143
ORD,CVG,69.0,3203.0,46.42028985507246,195.9185797101449
ORD,CWA,58.0,2048.0,35.310344827586206,260.8992857142857
ORD,DAY,66.0,2306.0,34.93939393939394,213.36
ORD,DFW,1.0,0.0,0.0,294.0018045112782
ORD,DSM,56.0,2638.0,47.10714285714285,238.09
ORD,DTW,47.0,1615.0,34.361702127659576,191.87321100917436
ORD,EWR,9.0,528.0,58.66666666666666,173.64030303030302
ORD,EYW,9.0,614.0,68.22222222222223,327.0797942386831
ORD,FAR,68.0,2717.0,39.95588235294117,242.64755319148932
ORD,FNT,58.0,2183.0,37.63793103448276,226.6060606060606
ORD,FSD,71.0,2796.0,39.38028169014085,201.09065217391304
ORD,FWA,9.0,303.0,33.666666666666664,88.904
ORD,GRB,54.0,2340.0,43.333333333333336,197.6875
ORD,GRR,79.0,3786.0,47.9240506329114,208.41989130434783
ORD,GSO,60.0,1868.0,31.133333333333333,195.06939226519336
ORD,GSP,28.0,989.0,35.32142857142857,207.0528640776699
ORD,HPN,59.0,2233.0,37.84745762711864,183.68893790849677
ORD,HSV,8.0,249.0,31.125,239.74076923076925
ORD,IAH,32.0,1892.0,59.125,184.49027586206896
ORD,ICT,68.0,2698.0,39.6764705882353,229.5275294117647
ORD,IND,52.0,2940.0,56.53846153846154,261.59410852713177
ORD,JAX,3.0,201.0,67.0,325.89444444444445
ORD,LAN,48.0,1773.0,36.9375,250.4253731343284
ORD,LEX,59.0,2104.0,35.66101694915254,203.35921951219512
ORD,LIT,68.0,2638.0,38.794117647058826,253.71593567251463
ORD,LSE,18.0,603.0,33.5,235.31057142857145
ORD,MCI,65.0,3392.0,52.18461538461538,211.41644876325088
ORD,MEM,79.0,3059.0,38.721518987341774,209.3670857142857
ORD,MHK,57.0,2130.0,37.36842105263158,252.1890099009901
ORD,MKE,35.0,1470.0,42.0,239.2825
ORD,MLI,50.0,1639.0,32.78,224.53333333333333
ORD,MQT,35.0,1027.0,29.34285714285714,221.866875
ORD,MSN,86.0,3790.0,44.06976744186046,269.6363636363636
ORD,MSP,53.0,2448.0,46.18867924528302,176.13728813559322
ORD,MSY,19.0,1074.0,56.526315789473685,210.9948872180451
ORD,OKC,66.0,2867.0,43.43939393939394,214.9586394557823
ORD,OMA,35.0,1624.0,46.4,193.88085106382977
ORD,ORF,40.0,1860.0,46.5,189.28047619047615
ORD,PIA,49.0,1372.0,28.0,154.97727272727272
ORD,PIT,13.0,507.0,39.0,202.0759574468085
