ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT
SGF,DFW,183.0,10731.0,58.63934426229508
SGF,ORD,78.0,2499.0,32.03846153846154
SHV,DFW,60.0,3543.0,59.05
SJT,DFW,37.0,1311.0,35.432432432432435
SLC,ORD,1.0,76.0,76.0
SPI,ORD,1.0,38.0,38.0
SRQ,ORD,1.0,70.0,70.0
STL,AUS,26.0,1024.0,39.38461538461539
STL,BOS,9.0,495.0,55.0
STL,DFW,8.0,437.0,54.625
STL,ORD,64.0,3782.0,59.09375
STL,SDF,1.0,25.0,25.0
STS,DFW,9.0,425.0,47.22222222222222
STS,PHX,21.0,1062.0,50.57142857142857
SYR,DCA,21.0,1375.0,65.47619047619048
SYR,MIA,1.0,73.0,73.0
SYR,ORD,25.0,1571.0,62.84
TLH,DCA,21.0,658.0,31.333333333333332
TLH,DFW,51.0,2975.0,58.333333333333336
TLH,GNV,1.0,72.0,72.0
TLH,MIA,91.0,3903.0,42.89010989010989
TPA,BNA,55.0,3491.0,63.472727272727276
TPA,MIA,22.0,1105.0,50.22727272727273
TPA,RDU,8.0,364.0,45.5
TRI,DFW,11.0,553.0,50.27272727272727
TUL,AUS,25.0,829.0,33.16
TUL,DFW,4.0,278.0,69.5
TUL,ORD,24.0,1469.0,61.208333333333336
TUL,PHX,23.0,1394.0,60.608695652173914
TUS,PHX,43.0,2424.0,56.372093023255815
TVC,ORD,64.0,2728.0,42.625
TYS,CLT,1.0,73.0,73.0
TYS,MIA,32.0,2145.0,67.03125
TYS,ORD,49.0,2211.0,45.12244897959184
VPS,DCA,8.0,465.0,58.125
VPS,DFW,5.0,188.0,37.6
XNA,CLT,59.0,3484.0,59.05084745762712
XNA,DCA,29.0,993.0,34.241379310344826
XNA,DFW,132.0,8365.0,63.371212121212125
XNA,MIA,29.0,1676.0,57.793103448275865
XNA,ORD,67.0,3039.0,45.35820895522388
