FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,DepTime,CRSArrTime,ArrTime,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,ORIGIN_TIMEZONE,DEST_TIMEZONE,DEP_REFERENCE_TIME,ARR_REFERENCE_TIME,OVERNIGHT_CORRECTION,REFERENCE_ELAPSED_MIN,ELAPSED_DIFF_MIN,DEP_REFERENCE_15MIN,ARR_REFERENCE_15MIN,DEP_TIME_INDEX_COMMON,ARR_TIME_INDEX_COMMON,FAA_N_NUMBER,N-NUMBER,MFR MDL CODE,CODE,MFR,MODEL,AIRCRAFT_TYPE
2023-01-01,MQ,N768RD,3879,MLI,DFW,710,707.0,935,937.0,0.0,0.0,145.0,150.0,103.0,691.0,America/Chicago,America/Chicago,2023-01-01 07:10:00-06:00,2023-01-01 09:35:00-06:00,False,145.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 09:30:00-06:00,28,38,768RD,768RD,326021A,326021A,EMBRAER S A,ERJ 170-100 LR,ERJ170
2023-01-01,MQ,N236NN,3864,MOB,DFW,710,703.0,911,848.0,0.0,0.0,121.0,105.0,90.0,539.0,America/Chicago,America/Chicago,2023-01-01 07:10:00-06:00,2023-01-01 09:11:00-06:00,False,121.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 09:00:00-06:00,28,36,236NN,236NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N200NN,3975,RDU,TPA,714,751.0,910,1035.0,0.0,0.0,116.0,164.0,142.0,587.0,America/New_York,America/New_York,2023-01-01 06:14:00-06:00,2023-01-01 08:10:00-06:00,False,116.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 08:00:00-06:00,24,32,200NN,200NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N670AE,3581,PIA,ORD,715,708.0,832,808.0,0.0,0.0,77.0,60.0,36.0,130.0,America/Chicago,America/Chicago,2023-01-01 07:15:00-06:00,2023-01-01 08:32:00-06:00,False,77.0,0.0,2023-01-01 07:15:00-06:00,2023-01-01 08:30:00-06:00,29,34,670AE,670AE,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N225NN,3533,RDU,AUS,715,713.0,943,931.0,0.0,0.0,208.0,198.0,167.0,1162.0,America/New_York,America/Chicago,2023-01-01 06:15:00-06:00,2023-01-01 09:43:00-06:00,False,208.0,0.0,2023-01-01 06:15:00-06:00,2023-01-01 09:30:00-06:00,25,38,225NN,225NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N286NN,3310,SYR,ORD,715,711.0,843,816.0,0.0,0.0,148.0,125.0,101.0,607.0,America/New_York,America/Chicago,2023-01-01 06:15:00-06:00,2023-01-01 08:43:00-06:00,False,148.0,0.0,2023-01-01 06:15:00-06:00,2023-01-01 08:30:00-06:00,25,34,286NN,286NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N205NN,3921,XNA,CLT,715,708.0,1024,1013.0,0.0,0.0,129.0,125.0,103.0,754.0,America/Chicago,America/New_York,2023-01-01 07:15:00-06:00,2023-01-01 09:24:00-06:00,False,129.0,0.0,2023-01-01 07:15:00-06:00,2023-01-01 09:15:00-06:00,29,37,205NN,205NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N939AE,3849,AVP,ORD,718,712.0,850,825.0,0.0,0.0,152.0,133.0,114.0,632.0,America/New_York,America/Chicago,2023-01-01 06:18:00-06:00,2023-01-01 08:50:00-06:00,False,152.0,0.0,2023-01-01 06:15:00-06:00,2023-01-01 08:45:00-06:00,25,35,939AE,939AE,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N664MS,4041,ABE,ORD,725,717.0,850,833.0,0.0,0.0,145.0,136.0,114.0,655.0,America/New_York,America/Chicago,2023-01-01 06:25:00-06:00,2023-01-01 08:50:00-06:00,False,145.0,0.0,2023-01-01 06:15:00-06:00,2023-01-01 08:45:00-06:00,25,35,664MS,664MS,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N230NN,3888,LEX,DFW,725,717.0,908,843.0,0.0,0.0,163.0,146.0,120.0,785.0,America/New_York,America/Chicago,2023-01-01 06:25:00-06:00,2023-01-01 09:08:00-06:00,False,163.0,0.0,2023-01-01 06:15:00-06:00,2023-01-01 09:00:00-06:00,25,36,230NN,230NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N240NN,3423,ORF,ORD,728,724.0,852,838.0,0.0,0.0,144.0,134.0,116.0,717.0,America/New_York,America/Chicago,2023-01-01 06:28:00-06:00,2023-01-01 08:52:00-06:00,False,144.0,0.0,2023-01-01 06:15:00-06:00,2023-01-01 08:45:00-06:00,25,35,240NN,240NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N238NN,3351,ROC,ORD,730,724.0,844,819.0,0.0,0.0,134.0,115.0,92.0,528.0,America/New_York,America/Chicago,2023-01-01 06:30:00-06:00,2023-01-01 08:44:00-06:00,False,134.0,0.0,2023-01-01 06:30:00-06:00,2023-01-01 08:30:00-06:00,26,34,238NN,238NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N217NN,4219,MSY,AUS,733,821.0,909,1035.0,0.0,0.0,96.0,134.0,75.0,444.0,America/Chicago,America/Chicago,2023-01-01 07:33:00-06:00,2023-01-01 09:09:00-06:00,False,96.0,0.0,2023-01-01 07:30:00-06:00,2023-01-01 09:00:00-06:00,30,36,217NN,217NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
